Name,Attack,Health,Level,Ability,Packs,Tier
Worm,1,3,2,Start of turn → Stock one 2-gold  Better Apple.,['Turtle Pack'],Tier 2 Pets
Worm,1,3,2,Start of turn → Stock one 2-gold  Better Apple.,['Turtle Pack'],Tier 2 Pets
Ghost Kitten,3,3,1,Take 3 less damage from abilities.,['Unicorn Pack'],Tier 2 Pets
Ghost Kitten,3,3,2,Take 6 less damage from abilities.,['Unicorn Pack'],Tier 2 Pets
Ghost Kitten,3,3,2,Take 6 less damage from abilities.,['Unicorn Pack'],Tier 2 Pets
Frost Wolf,1,3,1,Faint → Make the first enemy  Cold.,['Unicorn Pack'],Tier 2 Pets
Frost Wolf,1,3,2,Faint → Make the two first enemies  Cold.,['Unicorn Pack'],Tier 2 Pets
Frost Wolf,1,3,2,Faint → Make the two first enemies  Cold.,['Unicorn Pack'],Tier 2 Pets
Mothman,3,3,1,Faint → Deal 2  damage to one enemy with ailments.,['Unicorn Pack'],Tier 2 Pets
Mothman,3,3,2,Faint → Deal 2  damage to two enemies with ailments.,['Unicorn Pack'],Tier 2 Pets
Mothman,3,3,2,Faint → Deal 2  damage to two enemies with ailments.,['Unicorn Pack'],Tier 2 Pets
Drop Bear,2,2,1,Empty front space → Jump to the front and deal 3  damage to the last enemy in battle.,['Unicorn Pack'],Tier 2 Pets
Drop Bear,2,2,2,Empty front space → Jump to the front and deal 6  damage to the last enemy in battle.,['Unicorn Pack'],Tier 2 Pets
Drop Bear,2,2,2,Empty front space → Jump to the front and deal 6  damage to the last enemy in battle.,['Unicorn Pack'],Tier 2 Pets
Jackalope,1,3,1,Friend jumped → Deal 2  damage to one random enemy.,['Unicorn Pack'],Tier 2 Pets
Jackalope,1,3,2,Friend jumped → Deal 4  damage to one random enemy.,['Unicorn Pack'],Tier 2 Pets
Jackalope,1,3,2,Friend jumped → Deal 4  damage to one random enemy.,['Unicorn Pack'],Tier 2 Pets
Lucky Cat,2,3,1,Level-up → Gain +2  attack and +2  health now and +1  gold next turn.,['Unicorn Pack'],Tier 2 Pets
Lucky Cat,2,3,2,Level-up → Gain +2  attack and +2  health now and +1  gold next turn.,['Unicorn Pack'],Tier 2 Pets
Lucky Cat,2,3,2,Level-up → Gain +2  attack and +2  health now and +1  gold next turn.,['Unicorn Pack'],Tier 2 Pets
Ogopogo,1,2,1,Start of battle → Give front-most friend +1  experience.,['Unicorn Pack'],Tier 2 Pets
Ogopogo,1,2,2,Start of battle → Give front-most friend +2  experience.,['Unicorn Pack'],Tier 2 Pets
Ogopogo,1,2,2,Start of battle → Give front-most friend +2  experience.,['Unicorn Pack'],Tier 2 Pets
Thunderbird,2,3,1,Start of battle → Give the front-most friend +3  mana.,['Unicorn Pack'],Tier 2 Pets
Thunderbird,2,3,2,Start of battle → Give the front-most friend +6  mana.,['Unicorn Pack'],Tier 2 Pets
Thunderbird,2,3,2,Start of battle → Give the front-most friend +6  mana.,['Unicorn Pack'],Tier 2 Pets
Gargoyle,3,4,1,Faint → Spend  mana to give the nearest friend behind +3  health and +1 more per mana.,['Unicorn Pack'],Tier 2 Pets
Gargoyle,3,4,2,Faint → Spend  mana to give the nearest friend behind +6  health and +2 more per mana.,['Unicorn Pack'],Tier 2 Pets
Gargoyle,3,4,2,Faint → Spend  mana to give the nearest friend behind +6  health and +2 more per mana.,['Unicorn Pack'],Tier 2 Pets
Bigfoot,2,3,1,Faint → Gain one free roll next turn.,['Unicorn Pack'],Tier 2 Pets
Bigfoot,2,3,2,Faint → Gain two free rolls next turn.,['Unicorn Pack'],Tier 2 Pets
Bigfoot,2,3,2,Faint → Gain two free rolls next turn.,['Unicorn Pack'],Tier 2 Pets
Nightcrawler,1,1,1,"Faint → Summon one Crawler with 3  attack, and +1  health for each friend summoned this turn.",['Unicorn Pack'],Tier 2 Pets
Nightcrawler,1,1,2,"Faint → Summon one Crawler with 6  attack, and +2  health for each friend summoned this turn.",['Unicorn Pack'],Tier 2 Pets
Nightcrawler,1,1,2,"Faint → Summon one Crawler with 6  attack, and +2  health for each friend summoned this turn.",['Unicorn Pack'],Tier 2 Pets
Sphinx,2,5,1,Buy → Choose one level 1 adventurous toy.,['Unicorn Pack'],Tier 2 Pets
Sphinx,2,5,2,Buy → Choose one level 2 adventurous toy.,['Unicorn Pack'],Tier 2 Pets
Sphinx,2,5,2,Buy → Choose one level 2 adventurous toy.,['Unicorn Pack'],Tier 2 Pets
Chupacabra,4,2,1,Knock out → Give +1  health to one random friend. Triggers 3 times.,['Unicorn Pack'],Tier 2 Pets
Chupacabra,4,2,2,Knock out → Give +1  health to one random friend. Triggers 6 times.,['Unicorn Pack'],Tier 2 Pets
Chupacabra,4,2,2,Knock out → Give +1  health to one random friend. Triggers 6 times.,['Unicorn Pack'],Tier 2 Pets
Golden Beetle,2,3,1,Sell → Gain +1  gold. Triple if attack is at least 10.,['Unicorn Pack'],Tier 2 Pets
Golden Beetle,2,3,2,Sell → Gain +2  gold. Triple if attack is at least 10.,['Unicorn Pack'],Tier 2 Pets
Golden Beetle,2,3,2,Sell → Gain +2  gold. Triple if attack is at least 10.,['Unicorn Pack'],Tier 2 Pets
African Penguin,1,3,1,Buy → Give three random friends +1  attack.,['Golden Pack'],Tier 2 Pets
African Penguin,1,3,2,Buy → Give three random friends +2  attack.,['Golden Pack'],Tier 2 Pets
African Penguin,1,3,2,Buy → Give three random friends +2  attack.,['Golden Pack'],Tier 2 Pets
Black Necked Stilt,3,2,1,Faint → Gain +2  Trumpets.,['Golden Pack'],Tier 2 Pets
Black Necked Stilt,3,2,2,Faint → Gain +4  Trumpets.,['Golden Pack'],Tier 2 Pets
Black Necked Stilt,3,2,2,Faint → Gain +4  Trumpets.,['Golden Pack'],Tier 2 Pets
Door Head Ant,2,2,1,"Empty front space → If in battle, push this to the front and gain +4  health.",['Golden Pack'],Tier 2 Pets
Door Head Ant,2,2,2,"Empty front space → If in battle, push this to the front and gain +8  health.",['Golden Pack'],Tier 2 Pets
